"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"IUSV","iShares Trust","54.66","$4.84B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/iusv",
"IXUS","iShares Trust","55.94","$12.36B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ixus",
"JKI","iShares Trust","156.48","$445.97M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/jki",
"MBB","iShares Trust","103.19","$11.62B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mbb",
"MCHI","iShares Trust","57.48","$3.81B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mchi",
"PFF","iShares Trust","35.18","$14.57B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pff",
"QAT","iShares Trust","19.36","$56.14M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/qat",
"SCZ","iShares Trust","56.23","$9.01B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/scz",
"SDG","iShares Trust","56.16","$39.31M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/sdg",
"SHV","iShares Trust","110.47","$17.24B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/shv",
"SHY","iShares Trust","83.25","$17.02B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/shy",
"SLQD","iShares Trust","49.34","$1.39B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/slqd",
"SOXX","iShares Trust","168.25","$1.32B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/soxx",
"SUSB","iShares Trust","24.42","$48.84M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/susb",
"SUSC","iShares Trust","23.65","$18.92M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/susc",
"TLT","iShares Trust","115.33","$7.32B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/tlt",
"UAE","iShares Trust","14.47","$38.35M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/uae",
"USIG","iShares Trust","52.4","$2.22B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/usig",
"WOOD","iShares Trust","63.49","$312.37M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wood",
"XT","iShares Trust","36.4","$2.35B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/xt",
"COMT","iShares U.S. ETF Trust","35.1","$589.68M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/comt",
"EEMA","iShares, Inc.","64.15","$426.6M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/eema",
"EMXC","iShares, Inc.","47.3411","$9.47M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/emxc",
"ESGE","iShares, Inc.","32.34","$439.82M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/esge",
"RING","iShares, Inc.","14.75","$174.79M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ring",
"TUR","iShares, Inc.","26.26","$554.09M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/tur",
"ISRL","Isramco, Inc.","121.05","$328.97M","1983","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/isrl",
"ITI","Iteris, Inc.","4.57","$151.94M","n/a","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/iti",
